"Date","DFEDTARL","DFEDTARU","IORR","sdate","weekday"
"10/10/2016",25,50,50,2016-10-10,"Monday"
"10/11/2016",25,50,50,2016-10-11,"Tuesday"
"10/12/2016",25,50,50,2016-10-12,"Wednesday"
"10/13/2016",25,50,50,2016-10-13,"Thursday"
"10/14/2016",25,50,50,2016-10-14,"Friday"
"10/17/2016",25,50,50,2016-10-17,"Monday"
"10/18/2016",25,50,50,2016-10-18,"Tuesday"
"10/19/2016",25,50,50,2016-10-19,"Wednesday"
"10/20/2016",25,50,50,2016-10-20,"Thursday"
"10/21/2016",25,50,50,2016-10-21,"Friday"
"10/24/2016",25,50,50,2016-10-24,"Monday"
"10/25/2016",25,50,50,2016-10-25,"Tuesday"
"10/26/2016",25,50,50,2016-10-26,"Wednesday"
"10/27/2016",25,50,50,2016-10-27,"Thursday"
"10/28/2016",25,50,50,2016-10-28,"Friday"
"10/31/2016",25,50,50,2016-10-31,"Monday"
"11/1/2016",25,50,50,2016-11-01,"Tuesday"
"11/2/2016",25,50,50,2016-11-02,"Wednesday"
"11/3/2016",25,50,50,2016-11-03,"Thursday"
"11/4/2016",25,50,50,2016-11-04,"Friday"
"11/7/2016",25,50,50,2016-11-07,"Monday"
"11/8/2016",25,50,50,2016-11-08,"Tuesday"
"11/9/2016",25,50,50,2016-11-09,"Wednesday"
"11/10/2016",25,50,50,2016-11-10,"Thursday"
"11/11/2016",25,50,50,2016-11-11,"Friday"
"11/14/2016",25,50,50,2016-11-14,"Monday"
"11/15/2016",25,50,50,2016-11-15,"Tuesday"
"11/16/2016",25,50,50,2016-11-16,"Wednesday"
"11/17/2016",25,50,50,2016-11-17,"Thursday"
"11/18/2016",25,50,50,2016-11-18,"Friday"
"11/21/2016",25,50,50,2016-11-21,"Monday"
"11/22/2016",25,50,50,2016-11-22,"Tuesday"
"11/23/2016",25,50,50,2016-11-23,"Wednesday"
"11/24/2016",25,50,50,2016-11-24,"Thursday"
"11/25/2016",25,50,50,2016-11-25,"Friday"
"11/28/2016",25,50,50,2016-11-28,"Monday"
"11/29/2016",25,50,50,2016-11-29,"Tuesday"
"11/30/2016",25,50,50,2016-11-30,"Wednesday"
"12/1/2016",25,50,50,2016-12-01,"Thursday"
"12/2/2016",25,50,50,2016-12-02,"Friday"
"12/5/2016",25,50,50,2016-12-05,"Monday"
"12/6/2016",25,50,50,2016-12-06,"Tuesday"
"12/7/2016",25,50,50,2016-12-07,"Wednesday"
"12/8/2016",25,50,50,2016-12-08,"Thursday"
"12/9/2016",25,50,50,2016-12-09,"Friday"
"12/12/2016",25,50,50,2016-12-12,"Monday"
"12/13/2016",25,50,50,2016-12-13,"Tuesday"
"12/14/2016",25,50,50,2016-12-14,"Wednesday"
"12/15/2016",25,50,50,2016-12-15,"Thursday"
"12/16/2016",25,50,50,2016-12-16,"Friday"
"12/19/2016",25,50,50,2016-12-19,"Monday"
"12/20/2016",25,50,50,2016-12-20,"Tuesday"
"12/21/2016",25,50,50,2016-12-21,"Wednesday"
"12/22/2016",25,50,50,2016-12-22,"Thursday"
"12/23/2016",25,50,50,2016-12-23,"Friday"
"12/26/2016",25,50,50,2016-12-26,"Monday"
"12/27/2016",25,50,50,2016-12-27,"Tuesday"
"12/28/2016",25,50,50,2016-12-28,"Wednesday"
"12/29/2016",25,50,50,2016-12-29,"Thursday"
"12/30/2016",25,50,50,2016-12-30,"Friday"
"1/2/2017",25,50,50,2017-01-02,"Monday"
"1/3/2017",25,50,50,2017-01-03,"Tuesday"
"1/4/2017",25,50,50,2017-01-04,"Wednesday"
"1/5/2017",25,50,50,2017-01-05,"Thursday"
"1/6/2017",25,50,50,2017-01-06,"Friday"
"1/9/2017",25,50,50,2017-01-09,"Monday"
"1/10/2017",25,50,50,2017-01-10,"Tuesday"
"1/11/2017",25,50,50,2017-01-11,"Wednesday"
"1/12/2017",25,50,50,2017-01-12,"Thursday"
"1/13/2017",25,50,50,2017-01-13,"Friday"
"1/16/2017",25,50,50,2017-01-16,"Monday"
"1/17/2017",25,50,50,2017-01-17,"Tuesday"
"1/18/2017",25,50,50,2017-01-18,"Wednesday"
"1/19/2017",25,50,50,2017-01-19,"Thursday"
"1/20/2017",25,50,50,2017-01-20,"Friday"
"1/23/2017",25,50,50,2017-01-23,"Monday"
"1/24/2017",25,50,50,2017-01-24,"Tuesday"
"1/25/2017",25,50,50,2017-01-25,"Wednesday"
"1/26/2017",25,50,50,2017-01-26,"Thursday"
"1/27/2017",25,50,50,2017-01-27,"Friday"
"1/30/2017",25,50,50,2017-01-30,"Monday"
"1/31/2017",25,50,50,2017-01-31,"Tuesday"
"2/1/2017",25,50,50,2017-02-01,"Wednesday"
"2/2/2017",25,50,50,2017-02-02,"Thursday"
"2/3/2017",25,50,50,2017-02-03,"Friday"
"2/6/2017",25,50,50,2017-02-06,"Monday"
"2/7/2017",25,50,50,2017-02-07,"Tuesday"
"2/8/2017",25,50,50,2017-02-08,"Wednesday"
"2/9/2017",25,50,50,2017-02-09,"Thursday"
"2/10/2017",25,50,50,2017-02-10,"Friday"
"2/13/2017",25,50,50,2017-02-13,"Monday"
"2/14/2017",25,50,50,2017-02-14,"Tuesday"
"2/15/2017",25,50,50,2017-02-15,"Wednesday"
"2/16/2017",25,50,50,2017-02-16,"Thursday"
"2/17/2017",25,50,50,2017-02-17,"Friday"
"2/20/2017",25,50,50,2017-02-20,"Monday"
"2/21/2017",25,50,50,2017-02-21,"Tuesday"
"2/22/2017",25,50,50,2017-02-22,"Wednesday"
"2/23/2017",25,50,50,2017-02-23,"Thursday"
"2/24/2017",25,50,50,2017-02-24,"Friday"
"2/27/2017",25,50,50,2017-02-27,"Monday"
