Date,Reference,Rate,,,,,,dontknow,
4/18/2001,EFFR,4.67,,,,,,4.5,
4/19/2001,EFFR,4.47,,,,,,4.5,
4/20/2001,EFFR,4.38,,,,,,4.5,
4/23/2001,EFFR,4.4,,,,,,4.5,
4/24/2001,EFFR,4.41,,,,,,4.5,
4/25/2001,EFFR,4.54,,,,,,4.5,
4/26/2001,EFFR,4.57,,,,,,4.5,
4/27/2001,EFFR,4.51,,,,,,4.5,
4/30/2001,EFFR,4.67,,,,,,4.5,
5/1/2001,EFFR,4.61,,,,,,4.5,
5/2/2001,EFFR,4.35,,,,,,4.5,
5/3/2001,EFFR,4.48,,,,,,4.5,
5/4/2001,EFFR,4.41,,,,,,4.5,
5/7/2001,EFFR,4.47,,,,,,4.5,
5/8/2001,EFFR,4.41,,,,,,4.5,
5/9/2001,EFFR,4.43,,,,,,4.5,
5/10/2001,EFFR,4.51,,,,,,4.5,
5/11/2001,EFFR,4.47,,,,,,4.5,
5/14/2001,EFFR,4.43,,,,,,4.5,
5/15/2001,EFFR,4.22,,,,,,4,
5/16/2001,EFFR,4.04,,,,,,4,
5/17/2001,EFFR,4.04,,,,,,4,
5/18/2001,EFFR,3.95,,,,,,4,
5/21/2001,EFFR,4.02,,,,,,4,
5/22/2001,EFFR,3.99,,,,,,4,
5/23/2001,EFFR,3.97,,,,,,4,
5/24/2001,EFFR,3.98,,,,,,4,
5/25/2001,EFFR,3.94,,,,,,4,
5/29/2001,EFFR,4.09,,,,,,4,
5/30/2001,EFFR,4.05,,,,,,4,
5/31/2001,EFFR,4.24,,,,,,4,
6/1/2001,EFFR,4.14,,,,,,4,
6/4/2001,EFFR,4.03,,,,,,4,
6/5/2001,EFFR,3.93,,,,,,4,
6/6/2001,EFFR,3.91,,,,,,4,
6/7/2001,EFFR,3.92,,,,,,4,
6/8/2001,EFFR,4.02,,,,,,4,
6/11/2001,EFFR,4.03,,,,,,4,
6/12/2001,EFFR,3.98,,,,,,4,
6/13/2001,EFFR,4.04,,,,,,4,
6/14/2001,EFFR,4.03,,,,,,4,
6/15/2001,EFFR,3.94,,,,,,4,
6/18/2001,EFFR,3.91,,,,,,4,
6/19/2001,EFFR,3.91,,,,,,4,
6/20/2001,EFFR,3.98,,,,,,4,
6/21/2001,EFFR,4.02,,,,,,4,
6/22/2001,EFFR,3.98,,,,,,4,
6/25/2001,EFFR,3.97,,,,,,4,
6/26/2001,EFFR,3.75,,,,,,4,
6/27/2001,EFFR,3.68,,,,,,3.75,
6/28/2001,EFFR,3.86,,,,,,3.75,
6/29/2001,EFFR,3.95,,,,,,3.75,
7/2/2001,EFFR,4.11,,,,,,3.75,
7/3/2001,EFFR,3.69,,,,,,3.75,
7/5/2001,EFFR,3.72,,,,,,3.75,
7/6/2001,EFFR,3.6,,,,,,3.75,
7/9/2001,EFFR,3.67,,,,,,3.75,
7/10/2001,EFFR,3.71,,,,,,3.75,
7/11/2001,EFFR,3.78,,,,,,3.75,
7/12/2001,EFFR,3.78,,,,,,3.75,
7/13/2001,EFFR,3.75,,,,,,3.75,
7/16/2001,EFFR,3.82,,,,,,3.75,
7/17/2001,EFFR,3.71,,,,,,3.75,
7/18/2001,EFFR,3.73,,,,,,3.75,
7/19/2001,EFFR,3.77,,,,,,3.75,
7/20/2001,EFFR,3.8,,,,,,3.75,
7/23/2001,EFFR,3.82,,,,,,3.75,
7/24/2001,EFFR,3.82,,,,,,3.75,
7/25/2001,EFFR,3.89,,,,,,3.75,
7/26/2001,EFFR,3.87,,,,,,3.75,
7/27/2001,EFFR,3.75,,,,,,3.75,
7/30/2001,EFFR,3.79,,,,,,3.75,
7/31/2001,EFFR,3.82,,,,,,3.75,
8/1/2001,EFFR,3.79,,,,,,3.75,
8/2/2001,EFFR,3.68,,,,,,3.75,
8/3/2001,EFFR,3.69,,,,,,3.75,
8/6/2001,EFFR,3.73,,,,,,3.75,
8/7/2001,EFFR,3.69,,,,,,3.75,
8/8/2001,EFFR,3.75,,,,,,3.75,
8/9/2001,EFFR,3.77,,,,,,3.75,
8/10/2001,EFFR,3.7,,,,,,3.75,
8/13/2001,EFFR,3.79,,,,,,3.75,
8/14/2001,EFFR,3.76,,,,,,3.75,
8/15/2001,EFFR,3.83,,,,,,3.75,
8/16/2001,EFFR,3.75,,,,,,3.75,
8/17/2001,EFFR,3.66,,,,,,3.75,
8/20/2001,EFFR,3.64,,,,,,3.75,
8/21/2001,EFFR,3.53,,,,,,3.5,
8/22/2001,EFFR,3.51,,,,,,3.5,
8/23/2001,EFFR,3.55,,,,,,3.5,
8/24/2001,EFFR,3.51,,,,,,3.5,
8/27/2001,EFFR,3.54,,,,,,3.5,
8/28/2001,EFFR,3.5,,,,,,3.5,
8/29/2001,EFFR,3.5,,,,,,3.5,
8/30/2001,EFFR,3.58,,,,,,3.5,
8/31/2001,EFFR,3.66,,,,,,3.5,
9/4/2001,EFFR,3.67,,,,,,3.5,
9/5/2001,EFFR,3.49,,,,,,3.5,
9/6/2001,EFFR,3.52,,,,,,3.5,
9/7/2001,EFFR,3.44,,,,,,3.5,
9/10/2001,EFFR,3.5,,,,,,3.5,
9/11/2001,EFFR,3.5,,,,,,3.5,
9/12/2001,EFFR,3.56,,,,,,3.5,
9/13/2001,EFFR,3.31,,,,,,3.5,
9/14/2001,EFFR,3.13,,,,,,3.5,
9/17/2001,EFFR,2.13,,,,,,3,
9/18/2001,EFFR,1.25,,,,,,3,
9/19/2001,EFFR,1.19,,,,,,3,
9/20/2001,EFFR,2.22,,,,,,3,
9/21/2001,EFFR,3.11,,,,,,3,
9/24/2001,EFFR,3.31,,,,,,3,
9/25/2001,EFFR,3.11,,,,,,3,
9/26/2001,EFFR,2.96,,,,,,3,
9/27/2001,EFFR,3.08,,,,,,3,
9/28/2001,EFFR,2.75,,,,,,3,
10/1/2001,EFFR,3.02,,,,,,3,
10/2/2001,EFFR,2.35,,,,,,2.5,
10/3/2001,EFFR,2.27,,,,,,2.5,
10/4/2001,EFFR,2.45,,,,,,2.5,
10/5/2001,EFFR,2.42,,,,,,2.5,
10/9/2001,EFFR,2.5,,,,,,2.5,
10/10/2001,EFFR,2.42,,,,,,2.5,
