Date,DFEDTARL,DFEDTARU,IORR,Dater,SOFR,EFFR,RRPONTSYAWARD
7/31/2016,0.25,0.5,0.5,10/4/2016,NA,0.4,0.25
8/1/2016,0.25,0.5,0.5,10/5/2016,NA,0.4,0.25
8/2/2016,0.25,0.5,0.5,10/6/2016,NA,0.4,0.25
8/3/2016,0.25,0.5,0.5,10/7/2016,NA,0.4,0.25
8/4/2016,0.25,0.5,0.5,10/11/2016,NA,0.41,0.25
8/5/2016,0.25,0.5,0.5,10/12/2016,NA,0.41,0.25
8/6/2016,0.25,0.5,0.5,10/13/2016,NA,0.41,0.25
8/7/2016,0.25,0.5,0.5,10/14/2016,NA,0.41,0.25
8/8/2016,0.25,0.5,0.5,10/17/2016,NA,0.41,0.25
8/9/2016,0.25,0.5,0.5,10/18/2016,NA,0.41,0.25
8/10/2016,0.25,0.5,0.5,10/19/2016,NA,0.41,0.25
8/11/2016,0.25,0.5,0.5,10/20/2016,NA,0.41,0.25
8/12/2016,0.25,0.5,0.5,10/21/2016,NA,0.41,0.25
8/13/2016,0.25,0.5,0.5,10/24/2016,NA,0.41,0.25
8/14/2016,0.25,0.5,0.5,10/25/2016,NA,0.41,0.25
8/15/2016,0.25,0.5,0.5,10/26/2016,NA,0.41,0.25
8/16/2016,0.25,0.5,0.5,10/27/2016,NA,0.41,0.25
8/17/2016,0.25,0.5,0.5,10/28/2016,NA,0.41,0.25
8/18/2016,0.25,0.5,0.5,10/31/2016,NA,0.31,0.25
8/19/2016,0.25,0.5,0.5,11/1/2016,NA,0.41,0.25
8/20/2016,0.25,0.5,0.5,11/2/2016,NA,0.41,0.25
8/21/2016,0.25,0.5,0.5,11/3/2016,NA,0.41,0.25
8/22/2016,0.25,0.5,0.5,11/4/2016,NA,0.41,0.25
8/23/2016,0.25,0.5,0.5,11/7/2016,NA,0.41,0.25
8/24/2016,0.25,0.5,0.5,11/8/2016,NA,0.41,0.25
8/25/2016,0.25,0.5,0.5,11/9/2016,NA,0.41,0.25
8/26/2016,0.25,0.5,0.5,11/10/2016,NA,0.41,0.25
8/27/2016,0.25,0.5,0.5,11/14/2016,NA,0.41,0.25
8/28/2016,0.25,0.5,0.5,11/15/2016,NA,0.41,0.25
8/29/2016,0.25,0.5,0.5,11/16/2016,NA,0.41,0.25
8/30/2016,0.25,0.5,0.5,11/17/2016,NA,0.41,0.25
8/31/2016,0.25,0.5,0.5,11/18/2016,NA,0.41,0.25
